Make,Model,Year,Style,Distance,Engine_capacity(cm3),Fuel_type,Transmission,Price(euro),Age,km_year,price/km,luxury,eco,relative_age
Hyundai,Santa FE,2011,Crossover,169000.0,2200.0,Diesel,Automatic,13990.0,11,15363.636363636364,0.08278106508875739,yes,no,old
BMW,5 Series,2012,Sedan,200000.0,2000.0,Petrol,Automatic,11500.0,10,20000.0,0.0575,no,no,kind_old
KIA,Optima,2014,Sedan,60000.0,2000.0,Metan/Propan,Automatic,9900.0,8,7500.0,0.165,no,no,kind_old
Volkswagen,Caddy,2009,Minivan,276555.0,1595.0,Petrol,Manual,9500.0,13,21273.46153846154,0.034351214044222665,no,no,old
Opel,Astra,2005,Universal,227000.0,1600.0,Metan/Propan,Manual,4650.0,17,13352.941176470587,0.020484581497797357,no,no,old
Mitsubishi,Rare,2003,Crossover,230000.0,1800.0,Metan/Propan,Automatic,4900.0,19,12105.263157894737,0.021304347826086957,no,no,old
KIA,Rare,2010,Universal,150000.0,1400.0,Petrol,Manual,6000.0,12,12500.0,0.04,no,no,old
Renault,Grand Scenic,2004,Universal,139000.0,1500.0,Diesel,Manual,3700.0,18,7722.222222222223,0.026618705035971222,no,no,old
Mercedes,C Class,2012,Sedan,206000.0,2200.0,Diesel,Manual,14399.0,10,20600.0,0.06989805825242719,yes,no,kind_old
Mercedes,M Class,2013,SUV,77000.0,2500.0,Diesel,Automatic,27900.0,9,8555.555555555555,0.36233766233766235,yes,no,kind_old
