Make,Model,Year,Style,Distance,Engine_capacity(cm3),Fuel_type,Transmission,Price(euro),Age,km_year,price/km,luxury,eco,relative_age
42,91,2007,4,305988.0,1400.0,0,1,3250.0,15,20399.2,0.010621331555485836,0,0,1
2,9,2014,10,231250.0,2000.0,0,0,18000.0,8,28906.25,0.07783783783783783,0,0,0
41,4,2004,6,12000.0,1700.0,4,1,1800.0,18,666.6666666666666,0.15,0,0,1
2,9,1998,10,11111.0,2500.0,4,1,3200.0,24,462.9583333333333,0.2880028800288003,0,0,1
27,102,2014,4,87100.0,1200.0,4,1,7950.0,8,10887.5,0.0912743972445465,0,0,0
40,26,2000,10,420000.0,1600.0,3,1,2999.0,22,19090.90909090909,0.00714047619047619,0,0,1
13,35,2002,11,275100.0,2000.0,4,1,5900.0,20,13755.0,0.021446746637586334,0,0,1
2,9,2015,10,180236.0,2000.0,0,0,21500.0,7,25748.0,0.11928804456379413,0,0,0
13,35,2010,3,183000.0,2200.0,0,1,12999.0,12,15250.0,0.0710327868852459,1,0,1
27,102,2011,4,195000.0,1500.0,0,1,5250.0,11,17727.272727272728,0.026923076923076925,0,0,1
42,89,1993,11,311254.0,2000.0,3,1,29000.0,29,10732.896551724138,0.09317149337839835,0,0,1
28,23,2010,4,190000.0,1300.0,0,1,6500.0,12,15833.333333333334,0.034210526315789476,0,0,1
34,101,2016,11,116000.0,1598.0,4,0,10300.0,6,19333.33333333333,0.08879310344827586,0,0,0
42,111,2006,6,250000.0,2000.0,0,1,6900.0,16,15625.0,0.0276,0,0,1
27,96,2015,3,149000.0,1200.0,4,0,12500.0,7,21285.714285714286,0.08389261744966443,0,0,0
34,115,2016,10,170000.0,2000.0,0,0,17490.0,6,28333.33333333333,0.10288235294117647,0,0,0
40,73,2001,9,250000.0,4700.0,3,0,9990.0,21,11904.761904761905,0.03996,0,0,1
40,44,2006,11,256000.0,1400.0,0,1,5490.0,16,16000.0,0.0214453125,0,0,1
22,102,2002,9,255000.0,2000.0,4,1,3990.0,20,12750.0,0.015647058823529413,0,0,1
3,102,2011,4,190000.0,1400.0,5,0,9150.0,11,17272.727272727272,0.04815789473684211,0,1,1
23,102,2019,3,24000.0,3000.0,4,0,51000.0,3,8000.0,2.125,1,0,0
42,89,2002,11,270000.0,1800.0,4,1,2550.0,20,13500.0,0.009444444444444445,0,0,1
42,118,2010,9,235000.0,3000.0,0,0,20950.0,12,19583.33333333333,0.08914893617021277,1,0,1
2,9,2000,10,254604.0,2500.0,4,1,4500.0,22,11572.90909090909,0.01767450629212424,0,0,1
31,81,2009,11,165000.0,1500.0,0,1,4999.0,13,12692.307692307691,0.030296969696969697,0,0,1
40,32,2017,3,115000.0,1800.0,2,0,17999.0,5,23000.0,0.15651304347826087,0,1,0
2,12,1998,10,350000.0,3500.0,4,1,3990.0,24,14583.333333333334,0.0114,0,0,1
23,48,2012,10,150000.0,2500.0,0,0,14490.0,10,15000.0,0.0966,1,0,0
1,102,2018,4,31091.0,3000.0,4,0,35500.0,4,7772.75,1.1418095268727284,1,0,0
31,42,2006,4,280000.0,1461.0,0,1,4299.0,16,17500.0,0.015353571428571428,0,0,1
5,34,2012,4,145000.0,1400.0,0,0,6899.0,10,14500.0,0.04757931034482758,0,0,0
1,17,1997,10,29800.0,2400.0,3,1,2750.0,25,1192.0,0.09228187919463088,0,0,1
11,54,2013,10,178000.0,2000.0,2,0,9290.0,9,19777.777777777777,0.05219101123595506,0,1,0
40,93,2014,10,140000.0,800.0,5,0,11200.0,8,17500.0,0.08,0,1,0
